,Precio
2018-01-25,9462.44503933
2018-01-26,9364.55321298
2018-01-27,9422.08998255
2018-01-28,9441.61842004
2018-01-29,9427.70218444
2018-01-30,9435.05917327
2018-01-31,9527.24788595
2018-02-01,9481.6709509
2018-02-02,9340.85227158
2018-02-03,9349.33648311
2018-02-04,9370.05260905
2018-02-05,9399.30974802
2018-02-06,9399.30974802
2018-02-07,9453.85770181
2018-02-08,9334.2263166
2018-02-09,9513.5402681
2018-02-10,9430.1074585
2018-02-11,9357.02661772
2018-02-12,9462.23346773
2018-02-13,9462.23346773
2018-02-14,9447.90369397
2018-02-15,9379.23460905
2018-02-16,9419.7524416
2018-02-17,9437.98202159
2018-02-18,9368.93516171
2018-02-19,9290.6969108
2018-02-20,9290.6969108
2018-02-21,9294.70898548
2018-02-22,9242.26246566
2018-02-23,9264.12215621
2018-02-24,9327.2638368
2018-02-25,9355.35614921
2018-02-26,9385.44821909
2018-02-27,9377.8303344
2018-02-28,9404.82961222
2018-03-01,9453.12905262
2018-03-02,9382.32907492
2018-03-03,9256.38752416
2018-03-04,9283.79365132
2018-03-05,9282.15762058
2018-03-06,9282.15762058
2018-03-07,9315.25344952
2018-03-08,9382.14313571
2018-03-09,9321.6787345
2018-03-10,9239.6366657
2018-03-11,9296.86345739
2018-03-12,9287.82725565
2018-03-13,9287.82725565
2018-03-14,9305.54180118
2018-03-15,9314.35536381
2018-03-16,9384.67379498
2018-03-17,9451.35727982
2018-03-18,9372.46440027
2018-03-19,9448.25990408
2018-03-20,9448.25990408
2018-03-21,9443.8727347
2018-03-22,9410.29875688
2018-03-23,9484.68201074
2018-03-24,9720.45825567
2018-03-25,9738.42809671
2018-03-26,9679.90249265
2018-03-27,9661.3216631
2018-03-28,9675.73682092
2018-03-29,9451.61504442
2018-03-30,9424.45781355
2018-03-31,9402.2892176
2018-04-01,9339.09593784
2018-04-02,9344.76982564
2018-04-03,9344.76982564
2018-04-04,9285.25873798
2018-04-05,9228.7370349
2018-04-06,9253.9353816
2018-04-07,9314.44683692
2018-04-08,9308.55979689
2018-04-09,9359.409835
2018-04-10,9342.06105932
2018-04-11,9379.76231679
2018-04-12,9305.56591901
2018-04-13,9322.07202302
2018-04-14,9369.10060584
2018-04-15,9444.07502315
2018-04-16,9442.76064819
2018-04-17,9442.76064819
2018-04-18,9467.41621969
2018-04-19,9404.17877209
2018-04-20,9233.91544285
2018-04-21,9256.18627807
2018-04-22,9298.85899353
2018-04-23,9298.834674
2018-04-24,9291.71259211
2018-04-25,9284.68643279
2018-04-26,9280.11444767
2018-04-27,9375.21760479
2018-04-28,9296.21288403
2018-04-29,9390.05062498
2018-04-30,9332.93290445
2018-05-01,9332.93290445
2018-05-02,9345.57011196
2018-05-03,9328.57648136
2018-05-04,9278.78582224
2018-05-05,9330.72547616
2018-05-06,9288.38364127
2018-05-07,9295.46433743
2018-05-08,9295.46433743
2018-05-09,9333.33567719
2018-05-10,9337.2161128
2018-05-11,9388.23425661
2018-05-12,9437.25975573
2018-05-13,9490.33187518
2018-05-14,9519.02715771
2018-05-15,9484.71058458
2018-05-16,9549.7663239
2018-05-17,9589.41501665
2018-05-18,9583.48982241
2018-05-19,9610.09055109
2018-05-20,9746.16061539
2018-05-21,9391.16753959
2018-05-22,9391.16753959
2018-05-23,9370.8046167
2018-05-24,9366.56160843
2018-05-25,9220.29726824
2018-05-26,9217.38913497
2018-05-27,9255.32323484
2018-05-28,9329.21836789
2018-05-29,9329.21836789
2018-05-30,9280.05240183
2018-05-31,9203.12875759
2018-06-01,9220.40487731
2018-06-02,9153.12656084
2018-06-03,9140.78192845
2018-06-04,9125.33506046
2018-06-05,9125.33506046
2018-06-06,9061.62679614
2018-06-07,8968.79849879
2018-06-08,9103.1404327
2018-06-09,9098.0559475
2018-06-10,9055.65570843
2018-06-11,9094.88172832
2018-06-12,9094.88172832
2018-06-13,9102.54148339
2018-06-14,9168.37448511
2018-06-15,9029.62438056
2018-06-16,8999.70286663
2018-06-17,9051.18153967
2018-06-18,8966.33194234
2018-06-19,8966.33194234
2018-06-20,8940.6328251
2018-06-21,8971.452387
2018-06-22,8843.71403589
2018-06-23,8769.32191685
2018-06-24,8674.43180907
2018-06-25,8804.86080786
2018-06-26,8804.86080786
2018-06-27,8737.70590353
2018-06-28,8740.41243645
2018-06-29,8796.98048086
2018-06-30,8818.72370216
2018-07-01,8804.3343087
2018-07-02,8792.46766277
2018-07-03,8792.46766277
2018-07-04,8721.98229687
2018-07-05,8748.00332165
2018-07-06,8779.09351923
2018-07-07,8761.83931952
2018-07-08,8687.8595919
2018-07-09,8746.08110958
2018-07-10,8746.08110958
2018-07-11,8785.48322057
2018-07-12,8688.05167802
2018-07-13,8741.26060049
2018-07-14,8763.92446355
2018-07-15,8747.42098757
2018-07-16,8688.50722422
2018-07-17,8688.50722422
2018-07-18,8719.30487616
2018-07-19,8516.86186718
2018-07-20,8527.34985906
2018-07-21,8360.11457595
2018-07-22,8371.92658557
2018-07-23,8394.60170359
2018-07-24,8394.60170359
2018-07-25,8343.08363892
2018-07-26,8399.6693027
2018-07-27,8355.3773084
2018-07-28,8312.72441166
2018-07-29,8276.17300684
2018-07-30,8390.29509008
2018-07-31,8390.29509008
2018-08-01,8392.69311143
2018-08-02,8404.46433876
2018-08-03,8401.2687408
2018-08-04,8327.79480569
2018-08-05,8337.6556339
2018-08-06,8317.38851109
2018-08-07,8317.38851109
2018-08-08,8321.10611941
2018-08-09,8311.09500861
2018-08-10,8144.81074154
2018-08-11,8159.3444642
2018-08-12,8219.85264805
2018-08-13,8289.54218024
2018-08-14,8289.54218024
2018-08-15,8295.71053246
2018-08-16,8240.03201246
2018-08-17,8198.39832548
2018-08-18,8245.99514893
2018-08-19,8254.62090422
2018-08-20,8160.31574337
2018-08-21,8160.31574337
2018-08-22,8231.24471335
2018-08-23,8194.89797022
2018-08-24,8206.988407
2018-08-25,8289.93752377
2018-08-26,8292.30017833
2018-08-27,8274.07063869
2018-08-28,8270.63913805
2018-08-29,8233.64925559
2018-08-30,8251.94042692
2018-08-31,8391.22725979
2018-09-01,8373.47699417
2018-09-02,8285.07241748
2018-09-03,8487.24071476
2018-09-04,8487.24071476
2018-09-05,8441.96816601
2018-09-06,8445.35810669
2018-09-07,8588.43770408
2018-09-08,8495.32365461
2018-09-09,8476.06170957
2018-09-10,8551.28492432
2018-09-11,8525.39411275
2018-09-12,8452.40982788
2018-09-13,8441.36885918
2018-09-14,8406.54037798
2018-09-15,8421.39392672
2018-09-16,8617.39307162
2018-09-17,8673.63935184
2018-09-18,8673.63935184
2018-09-19,8718.19453341
2018-09-20,8732.40102933
2018-09-21,8683.74118169
2018-09-22,8669.62892852
2018-09-23,8658.31452728
2018-09-24,8677.87205746
2018-09-25,8677.87205746
2018-09-26,8667.12920507
2018-09-27,8654.67714546
2018-09-28,8781.55486251
2018-09-29,8774.49442554
2018-09-30,8724.76081783
2018-10-01,8767.36148387
2018-10-02,8767.36148387
2018-10-03,8713.71213987
2018-10-04,8676.23702957
2018-10-05,8588.41934158
2018-10-06,8694.86753999
2018-10-07,8912.80708803
2018-10-08,9034.96203061
2018-10-09,9034.96203061
2018-10-10,9053.63263577
2018-10-11,8969.75948462
2018-10-12,8996.57122188
2018-10-13,9128.04314953
2018-10-14,9007.01428186
2018-10-15,8798.70752847
2018-10-16,8798.70752847
2018-10-17,8843.55180661
2018-10-18,8762.47759475
2018-10-19,8693.30369978
2018-10-20,8713.12470226
2018-10-21,8804.5252878
2018-10-22,8858.33541209
2018-10-23,8675.00033491
2018-10-24,8671.28246063
2018-10-25,8672.39757061
2018-10-26,8630.59458185
2018-10-27,8704.01083223
2018-10-28,8725.78352928
2018-10-29,8581.66771293
2018-10-30,8589.2267349
2018-10-31,8620.79143813
2018-11-01,8629.52745439
2018-11-02,8570.10788538
2018-11-03,8586.82145311
2018-11-04,8575.84964758
2018-11-05,8485.07810781
2018-11-06,8522.88939007
2018-11-07,8588.49669701
2018-11-08,8633.50805875
2018-11-09,8711.49592508
2018-11-10,8661.72158159
2018-11-11,8634.57995902
2018-11-12,8754.84684029
2018-11-13,8754.84684029
2018-11-14,8711.70348542
2018-11-15,8727.02056988
2018-11-16,8742.55970312
2018-11-17,8791.32421941
2018-11-18,8790.75800835
2018-11-19,8690.36498238
2018-11-20,8690.36498238
2018-11-21,8680.77869257
2018-11-22,8766.11962762
2018-11-23,8774.3551531
2018-11-24,8693.39380959
2018-11-25,8827.67111798
2018-11-26,8755.13348391
2018-11-27,8755.13348391
2018-11-28,8850.92790095
2018-11-29,8840.03043581
2018-11-30,8883.07744384
2018-12-01,9025.56551113
2018-12-02,9138.87661999
2018-12-03,9198.39399381
2018-12-04,9198.39399381
2018-12-05,9264.07705798
2018-12-06,9341.48807965
2018-12-07,9292.69140369
2018-12-08,9410.10417369
2018-12-09,9514.47993311
2018-12-10,9490.85193335
2018-12-11,9490.85193335
2018-12-12,9536.4145766
2018-12-13,9389.56169824
2018-12-14,9459.61270971
2018-12-15,9559.78054934
2018-12-16,9506.85024664
2018-12-17,9444.45261948
2018-12-18,9444.45261948
2018-12-19,9490.64594961
2018-12-20,9483.27003274
2018-12-21,9392.28074996
2018-12-22,9356.73844436
2018-12-23,9318.62340563
2018-12-24,9181.52846078
2018-12-25,9181.52846078
2018-12-26,9188.86132851
2018-12-27,9103.12856472
2018-12-28,9196.57664283
2018-12-29,9214.92574425
2018-12-30,9234.25506
2018-12-31,9508.52057014
2019-01-01,9466.97601369
2019-01-02,9487.71931754
2019-01-03,9503.4817634
2019-01-04,9668.6123358
2019-01-05,9716.70967958
2019-01-06,9760.45336464
2019-01-07,9689.43630354
2019-01-08,9689.43630354
2019-01-09,9665.79277441
2019-01-10,9702.35444999
2019-01-11,9711.44281715
2019-01-12,9623.45173714
2019-01-13,9586.81184367
2019-01-14,9691.13481259
2019-01-15,9694.45935499
2019-01-16,9663.51205751
2019-01-17,9581.25117963
2019-01-18,9610.40689496
2019-01-19,9568.84617454
2019-01-20,9464.50822555
2019-01-21,9609.66540345
2019-01-22,9609.66540345
2019-01-23,9611.72542772
2019-01-24,9631.05192518
2019-01-25,9765.34886896
2019-01-26,9749.02605356
2019-01-27,9645.82134306
2019-01-28,9693.32625123
2019-01-29,9689.99932226
2019-01-30,9713.56683761
2019-01-31,9680.76875818
2019-02-01,9663.19709586
2019-02-02,9593.71246813
2019-02-03,9476.79055529
2019-02-04,9227.07829444
2019-02-05,9227.07829444
2019-02-06,9279.95215042
2019-02-07,9184.09242078
2019-02-08,9151.45641978
2019-02-09,9123.41097873
2019-02-10,9122.59255834
2019-02-11,9328.66830231
2019-02-12,9328.66830231
2019-02-13,9304.2563962
2019-02-14,9342.38444508
2019-02-15,9379.47461217
2019-02-16,9307.71758905
2019-02-17,9200.54120413
2019-02-18,9196.31198928
2019-02-19,9196.31198928
2019-02-20,9191.56244673
2019-02-21,9223.74752134
2019-02-22,9167.7871945
2019-02-23,9285.35225306
2019-02-24,9261.05010705
2019-02-25,9256.10404993
2019-02-26,9239.70964737
2019-02-27,9274.9436973
2019-02-28,9381.38078337
2019-03-01,9379.86635238
2019-03-02,9287.80237351
2019-03-03,9056.85562401
2019-03-04,9110.67305814
2019-03-05,9110.67305814
2019-03-06,9134.16665295
2019-03-07,9055.12837596
2019-03-08,9073.64391521
2019-03-09,9086.86496382
2019-03-10,9114.54694131
2019-03-11,9114.27204646
2019-03-12,9114.27204646
2019-03-13,9194.98926443
2019-03-14,9242.86558268
2019-03-15,9198.94460255
2019-03-16,9184.61536592
2019-03-17,9023.87162736
2019-03-18,9009.95987587
2019-03-19,9008.89565846
2019-03-20,9018.05783066
2019-03-21,8976.20911335
2019-03-22,9002.25888941
2019-03-23,8949.34623155
2019-03-24,8902.46189225
2019-03-25,8902.46189225
2019-03-26,8902.46189225
2019-03-27,8930.86128974
2019-03-28,8905.78324259
2019-03-29,8800.31114082
2019-03-30,8938.62217273
2019-03-31,9005.48718502
2019-04-01,9050.08281821
2019-04-02,9026.51281616
2019-04-03,9025.64139092
2019-04-04,8942.24745548
2019-04-05,8892.97934293
2019-04-06,8761.52080179
2019-04-07,8728.96046172
2019-04-08,8889.3770786
2019-04-09,8889.3770786
2019-04-10,8824.60255937
2019-04-11,8837.04713097
2019-04-12,8900.19529485
2019-04-13,8842.69637804
2019-04-14,8774.35828924
2019-04-15,8792.65260851
2019-04-16,8792.65260851
2019-04-17,8746.91952019
2019-04-18,8803.30449866
2019-04-19,8794.3296182
2019-04-20,8777.76641995
2019-04-21,8617.04346342
2019-04-22,8547.3793636
2019-04-23,8547.3793636
2019-04-24,8463.12004443
2019-04-25,8450.18903209
2019-04-26,8462.75116996
2019-04-27,8485.02604546
2019-04-28,8534.7604933
2019-04-29,8526.28120439
2019-04-30,8526.28120439
2019-05-01,8679.39799604
2019-05-02,8612.15991786
2019-05-03,8511.17913146
2019-05-04,8485.85785146
2019-05-05,8540.61286059
2019-05-06,8557.81884015
2019-05-07,8557.81884015
2019-05-08,8575.27515471
2019-05-09,8585.59765672
2019-05-10,8695.54390409
2019-05-11,8742.64115381
2019-05-12,8728.2108348
2019-05-13,8804.16414287
2019-05-14,8804.16414287
2019-05-15,8730.41482142
